account,state,side,ae,xp_new,xp_wip,arr,countable,ncap,capability_data,territory_tier,territory_score,account_whitespace,growth_potential,tier,tier_label
Connecticut State Library,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut State Department of Education,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of the State Comptroller,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Public Health Department,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of the Secretary of State,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Mental Health & Addiction Services,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Social Services,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Revenue Services,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Motor Vehicles,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Transportation,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Maine Department of Environmental Protection,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Department of Economic & Community Development,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Bureau of Insurance,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Attorney General,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
"Maine Department of Agriculture, Conservation and Forestry",ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Department of Transportation,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Department of Inland Fisheries & Wildlife,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Department of Marine Resources,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Department of General Services,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Treasurers Office,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Public Safety Department,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
The Independent Commission to Investigate the Facts of the Lewiston Tragedy,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
